movies_titles,release_year,genre,imdb_rating,duration,age_rating,production_country,streaming_service,movie_url
Bastar: The Naxal Story,2024,"Action & Adventure, Crime, Drama, War & Military",,Duration not found for https://www.justwatch.com/in/movie/bastar,A,India,Zee5,https://www.justwatch.com/in/movie/bastar
The Kerala Story,2023,Drama,6.9,2h 18min,A,India,Zee5,https://www.justwatch.com/in/movie/the-kerala-story
War for the Planet of the Apes,2017,"Drama, Science-Fiction, War & Military, Mystery & Thriller, Action & Adventure",7.4,2h 20min,Age rating not found for https://www.justwatch.com/in/movie/war-for-the-planet-of-the-apes,United States,Hotstar,https://www.justwatch.com/in/movie/war-for-the-planet-of-the-apes
Ranam Aram Thavarel,2024,Mystery & Thriller,6.1,2h 1min,Age rating not found for https://www.justwatch.com/in/movie/ranam-2024,India,Amazon Prime Video,https://www.justwatch.com/in/movie/ranam-2024
Skanda: The Attacker,2023,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,4.2,2h 47min,UA,India,Streaming service not found for https://www.justwatch.com/in/movie/boyapatirapo,https://www.justwatch.com/in/movie/boyapatirapo
8 A.M. Metro,2023,Drama,7.4,1h 55min,UA,India,Zee5,https://www.justwatch.com/in/movie/8-a-m-metro
Rebel Moon - Part Two: The Scargiver,2024,"Action & Adventure, Drama, Science-Fiction, Fantasy",,Duration not found for https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver,Age rating not found for https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver,United States,Netflix,https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver
Godzilla vs. Kong,2021,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.3,1h 53min,UA,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/godzilla-vs-kong
Silence 2: The Night Owl Bar Shootout,2024,"Crime, Mystery & Thriller",6.3,2h 22min,A,India,Zee5,https://www.justwatch.com/in/movie/silence-2-the-night-owl-bar-shootout
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8.2,3h 0min,A,United States,Lionsgate Play,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Dawn of the Planet of the Apes,2014,"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller, Made in Europe",7.6,2h 10min,Age rating not found for https://www.justwatch.com/in/movie/dawn-of-the-planet-of-the-apes,"United Kingdom, United States",Streaming service not found for https://www.justwatch.com/in/movie/dawn-of-the-planet-of-the-apes,https://www.justwatch.com/in/movie/dawn-of-the-planet-of-the-apes
Geethanjali Malli Vachindi,2024,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,5.8,2h 24min,Age rating not found for https://www.justwatch.com/in/movie/geethanjali-malli-vachindi,India,Amazon Prime Video,https://www.justwatch.com/in/movie/geethanjali-malli-vachindi
The Ministry of Ungentlemanly Warfare,2024,"War & Military, Action & Adventure, Drama",6.9,2h 0min,Age rating not found for https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare,"United States, United Kingdom, Turkey",Streaming service not found for https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
13 Bombs,2023,"Action & Adventure, Crime, Mystery & Thriller",,2h 23min,A,"Indonesia, South Korea",Netflix,https://www.justwatch.com/in/movie/13-bom-di-jakarta
Wonka,2023,"Comedy, Kids & Family, Fantasy",7.0,1h 57min,U,"United Kingdom, United States",Jio Cinema,https://www.justwatch.com/in/movie/wonka
The Intern,2015,"Comedy, Drama",7.1,2h 2min,Age rating not found for https://www.justwatch.com/in/movie/the-intern,United States,Jio Cinema,https://www.justwatch.com/in/movie/the-intern
K.G.F: Chapter 2,2022,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3,2h 46min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/k-g-f-chapter-2
Abigail,2024,"Mystery & Thriller, Horror",6.7,1h 53min,Age rating not found for https://www.justwatch.com/in/movie/abigail-2024,United States,Streaming service not found for https://www.justwatch.com/in/movie/abigail-2024,https://www.justwatch.com/in/movie/abigail-2024
Ghostbusters: Frozen Empire,2024,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,6.2,1h 55min,Age rating not found for https://www.justwatch.com/in/movie/ghostbusters-frozen-empire,United States,Streaming service not found for https://www.justwatch.com/in/movie/ghostbusters-frozen-empire,https://www.justwatch.com/in/movie/ghostbusters-frozen-empire
OMG 2,2023,"Drama, Comedy",,2h 35min,A,India,Netflix,https://www.justwatch.com/in/movie/omg-2
Operation Valentine,2024,"Action & Adventure, War & Military, Mystery & Thriller, Drama",5.2,2h 12min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/operation-valentine
Argylle,2024,"Mystery & Thriller, Action & Adventure, Comedy",5.7,2h 19min,Age rating not found for https://www.justwatch.com/in/movie/argylle,"United Kingdom, United States",Apple TV Plus,https://www.justwatch.com/in/movie/argylle
Gaami,2024,"Mystery & Thriller, Science-Fiction, Fantasy, Drama",6.6,2h 27min,A,India,Zee5,https://www.justwatch.com/in/movie/gaami
Road House,2024,"Mystery & Thriller, Action & Adventure",6.2,2h 1min,Age rating not found for https://www.justwatch.com/in/movie/road-house-2024,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/road-house-2024
Interstellar,2014,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,8.7,2h 49min,Age rating not found for https://www.justwatch.com/in/movie/interstellar,"United Kingdom, United States",Streaming service not found for https://www.justwatch.com/in/movie/interstellar,https://www.justwatch.com/in/movie/interstellar
Swatantra Veer Savarkar,2024,"Drama, History",7.7,2h 56min,Age rating not found for https://www.justwatch.com/in/movie/swatantra-veer-savarkar,India,Zee5,https://www.justwatch.com/in/movie/swatantra-veer-savarkar
Idi Minnal Kadhal,2024,"Drama, Action & Adventure",,2h 11min,Age rating not found for https://www.justwatch.com/in/movie/idi-minnal-kadhal,India,Amazon Prime Video,https://www.justwatch.com/in/movie/idi-minnal-kadhal
Angithee 2,2023,"Drama, Romance",8.0,1h 19min,Age rating not found for https://www.justwatch.com/in/movie/angithee-2,India,ShemarooMe,https://www.justwatch.com/in/movie/angithee-2
Ravening,2019,"Fantasy, Horror, Romance, Drama",7.9,1h 47min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/ravening
Barbie,2023,"Comedy, Action & Adventure, Music & Musical, Kids & Family, Fantasy",6.8,1h 54min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/barbie-2023
Spider-Man: No Way Home,2021,"Action & Adventure, Science-Fiction, Fantasy",8.2,2h 28min,UA,United States,Sony Liv,https://www.justwatch.com/in/movie/spider-man-no-way-home
Akelli,2023,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,6.1,2h 7min,Age rating not found for https://www.justwatch.com/in/movie/akelli,India,Streaming service not found for https://www.justwatch.com/in/movie/akelli,https://www.justwatch.com/in/movie/akelli
K.G.F: Chapter 1,2018,"Mystery & Thriller, Crime, Drama, Action & Adventure",8.2,2h 36min,UA,India,Hotstar,https://www.justwatch.com/in/movie/k-g-f-chapter-1
Dada,2023,,,2h 15min,U,India,Amazon Prime Video,https://www.justwatch.com/in/movie/dada-2023
